layer,feature_set,target,target_label,scope,auc,auc_lo,auc_hi,n,n_games
18,router_gate,stimulus_control,strategically inert payoff control,all,0.6729480131172839,0.6213821668332904,0.7237699532214505,576,144
18,router_topk_weight,incentive_sign_q05,objective incentive sign,all,0.6400848765432099,0.5850075916866209,0.692611578529717,576,144
18,router_topk_weight,pure_canonical_choice,pure final-channel canonical choice,pure,0.5660326380633308,0.4639397192933049,0.6584504471501682,525,144
18,router_topk_weight,realized_canonical_choice,realized canonical choice incl mixed,all,0.694244384765625,0.6210877680070301,0.7707529150575726,576,144
18,router_topk_weight,literal_J_choice,literal J/P choice control,pure,0.4929376889095559,0.44237593177105206,0.5400970445147312,525,144
18,router_topk_weight,stimulus_control,strategically inert payoff control,all,0.4324363425925926,0.3643902727455717,0.5007019110594252,576,144
18,router_topk_binary,incentive_sign_q05,objective incentive sign,all,0.6087255658436214,0.5536598268182933,0.6607117511972072,576,144
18,router_topk_binary,pure_canonical_choice,pure final-channel canonical choice,pure,0.44977304657948775,0.36708995230121994,0.5357354275551683,525,144
18,router_topk_binary,realized_canonical_choice,realized canonical choice incl mixed,all,0.66778564453125,0.5943301098967252,0.7502090497962705,576,144
18,router_topk_binary,literal_J_choice,literal J/P choice control,pure,0.4990263892118112,0.44897087870780805,0.5470992539382632,525,144
18,router_topk_binary,stimulus_control,strategically inert payoff control,all,0.41432171103395055,0.3406468973119139,0.48815303500577906,576,144
18,residual,incentive_sign_q05,objective incentive sign,all,0.9001929012345679,0.861552974086258,0.9367424846648323,576,144
18,residual,pure_canonical_choice,pure final-channel canonical choice,pure,0.7839079217551065,0.7038024574289176,0.8521280585437133,525,144
18,residual,realized_canonical_choice,realized canonical choice incl mixed,all,0.8101806640625,0.7398946145408289,0.8704375027337409,576,144
18,residual,literal_J_choice,literal J/P choice control,pure,1.0,0.9999999999999999,1.0,525,144
18,residual,stimulus_control,strategically inert payoff control,all,0.7779224537037036,0.7309807114911436,0.821532370645438,576,144
21,router_gate,incentive_sign_q05,objective incentive sign,all,0.8711033950617284,0.8280046542553191,0.9116679987387584,576,144
