game_code,gate_margin,topk_binary_margin,topk_weight_margin,residual_margin,gate_minus_topk_margin,median_n_new_tokens,mixed_rate,pure_canonical_rate,abs_delta1c_q05,complexity_score,dominance_profile,num_pure_ne,log_median_n_new_tokens
PdDl,0.2663225879625348,0.08545088439262072,0.09485388806135744,0.47129216896230325,0.18087170356991406,275.0,0.0,1.0,1.0,0.3849001794597504,0,1,5.62040086571715
PdHa,0.45806547979691736,0.12318281585103125,0.13131593774390407,0.49685430056511903,0.33488266394588617,292.0,0.0,1.0,1.0,-0.5388602512436508,0,1,5.680172609017068
PdHr,0.4491847059354056,0.1913060672012959,0.22064747316141714,0.4983503228326991,0.25787863873410966,286.0,0.0,1.0,1.0,0.0384900179459749,1,1,5.659482215759621
PdNc,0.4052405092896553,0.1497691165109207,0.15482991248620293,0.439493584722882,0.25547139277873465,241.5,0.0,1.0,1.0,-0.1924500897298753,0,1,5.491001710377538
PdPc,0.31047919443319427,0.18431627703534015,0.17565825579602246,0.4866288940697534,0.12616291739785415,347.0,0.0,1.0,1.0,-0.6543303050815759,0,1,5.8522024797744745
PdPd,0.21656603650330108,0.06919673018086275,0.0667755950834808,0.3627576727526877,0.14736930632243833,347.5,0.0,1.0,1.0,0.2694301256218253,0,1,5.853638230200579
PdSh,0.37794930350771083,0.16425726196291898,0.1564826976001743,0.4724556700406878,0.21369204154479182,301.0,0.0,1.0,1.0,0.0384900179459749,1,1,5.71042701737487
ShAs,0.2909394116025974,-0.07196605411870172,-0.026679808159405988,0.44294469353067145,0.3629054657212991,644.5,0.25,1.0,0.0,-0.3437457694579421,2,2,6.470025210286697
ShBa,0.18258128520672454,-0.02806364520575065,-0.08124144309738632,-0.016812637678220152,0.21064493041247517,966.0,0.25,1.0,0.0,0.3368858560744445,2,0,6.874198495453294
ShCh,0.39981485348753687,0.022869630798079688,-0.005770842427121239,0.47463859679144127,0.3769452226894572,747.5,0.25,1.0,0.0,0.2214158022365192,2,0,6.618071203859683
ShCm,0.10782822508089804,-0.1750787594125821,-0.16397607969620248,0.18222298101554715,0.2829069844934802,300.5,0.0,1.0,0.0,0.8563047002507821,1,1,5.70877001616724
ShCo,0.2172965456225101,0.017083235740726496,0.07051627968883097,0.06391879604937246,0.2002133098817836,1040.5,0.25,1.0,0.0,-0.5169508502148299,2,2,6.948417260701027
ShDl,0.26493410360220865,-0.11993249638340986,-0.17298848312896284,0.15509090099849374,0.3848665999856185,345.5,0.0,1.0,0.0,0.7408346464128569,1,1,5.847882818629958
ShHa,0.05490489517583583,-0.06424982768682252,-0.047898352915913045,-0.12544483428826048,0.11915472286265835,713.0,0.0,1.0,0.0,-0.1829257842905442,1,1,6.570882962339584
ShHr,0.10436894211491322,-0.0503588199086476,-0.04966195324275227,0.021220385950246487,0.1547277620235608,1072.0,0.25,1.0,0.0,0.5678259637502947,2,0,6.9782137426306985
ShNc,0.19358529535122193,-0.1845945787678593,-0.21159927301746656,0.08027901593651453,0.3781798741190812,374.5,0.0,0.75,0.0,0.048014323385306,1,1,5.928258471204189
ShPc,0.0891565998893116,0.04208815516345725,0.042443214572043086,0.051503077928981886,0.04706844472585435,935.0,0.75,1.0,0.0,-0.2983958381284694,1,1,6.841615476477592
ShPd,0.37949579245651877,-0.06465592250971872,-0.06999588299187087,0.49346642943013896,0.4441517149662375,376.5,0.0,1.0,0.0,0.5098945387370066,1,1,5.933570568689079
ShSh,0.23944459074224367,-0.01952766085033064,-0.004554870196247174,-0.004274774509540655,0.2589722515925743,542.0,0.25,0.6666666666666666,0.0,-0.2571432290794982,2,2,6.297109319933935
