model,mode,layer,variant,game_code,family,delta1_c,slope_letter,range_letter,slope_canon,range_canon,slope_beh,range_beh,beh_flip
qwen_instruct,h1_dinc,65,random,ChCo,MP,0.0,0.05090833333333339,0.02842500000000002,-0.03812500000000006,0.019425000000000033,0.0,0.0,1
qwen_instruct,h1_dinc,65,random,ChDl,OD1,0.0,0.03950833333333338,0.022925000000000022,-0.04302500000000005,0.025025000000000026,-0.41666666666666674,0.25,1
qwen_instruct,h1_dinc,65,random,ChHa,OD2,-0.0,0.026466666666666677,0.020750000000000008,0.03296666666666668,0.016600000000000004,0.0,0.0,1
qwen_instruct,h1_dinc,65,random,ChHr,CO1,0.0,0.02967500000000003,0.01650000000000003,-0.035758333333333364,0.01925000000000003,0.0,0.0,1
qwen_instruct,h1_dinc,65,random,CmAs,OD1,2.0,0.03983333333333333,0.02135,0.04170000000000004,0.022450000000000025,0.0,0.0,1
qwen_instruct,h1_dinc,65,random,CmCm,DD,2.0,0.01266666666666667,0.0056000000000000025,0.012650000000000002,0.005500000000000005,0.0,0.0,1
qwen_instruct,h1_dinc,65,random,CmDl,DD,2.0,0.02122500000000002,0.009875000000000009,0.021441666666666668,0.010124999999999995,0.0,0.0,1
qwen_instruct,h1_dinc,65,random,CmHa,DD,2.0,0.023791666666666662,0.011949999999999997,0.02470833333333327,0.012299999999999978,0.0,0.0,1
qwen_instruct,h1_dinc,65,random,CmNc,DD,2.0,0.011533333333333375,0.005325000000000033,0.013333333333333407,0.006175000000000042,0.0,0.0,1
qwen_instruct,h1_dinc,65,random,CoAs,CO2,1.0,0.07041666666666666,0.0373,0.07559999999999997,0.040150000000000005,0.41666666666666674,0.5,1
qwen_instruct,h1_dinc,65,random,CoCo,CO1,1.0,0.06178333333333329,0.03237499999999997,0.06284999999999995,0.03292499999999997,0.6666666666666667,0.25,1
qwen_instruct,h1_dinc,65,random,CoSh,CO2,1.0,0.07014999999999999,0.03672500000000001,0.07098333333333333,0.03672500000000001,0.6666666666666667,0.25,1
qwen_instruct,h1_dinc,65,random,HaAs,OD2,2.0,0.026508333333333366,0.012650000000000022,0.027041666666666693,0.012650000000000022,0.0,0.0,1
qwen_instruct,h1_dinc,65,random,HaBa,OD2,2.0,0.0281583333333333,0.015574999999999988,0.03172499999999991,0.016399999999999942,0.0,0.0,1
qwen_instruct,h1_dinc,65,random,HaCm,DD,2.0,0.06134166666666664,0.031900000000000005,0.065675,0.03155000000000002,0.0,0.0,1
qwen_instruct,h1_dinc,65,random,HaDl,DD,2.0,0.02390833333333335,0.011375000000000012,0.02387500000000001,0.011275000000000007,0.0,0.0,1
qwen_instruct,h1_dinc,65,random,HaHa,DD,2.0,0.025491666666666656,0.01287499999999998,0.02704166666666668,0.013674999999999993,0.0,0.0,1
qwen_instruct,h1_dinc,65,random,HaNc,DD,2.0,0.006641666666666695,0.0036250000000000154,0.011491666666666688,0.005675000000000013,0.0,0.0,1
qwen_instruct,h1_dinc,65,random,HaPc,DD,2.0,0.03800833333333334,0.018975000000000013,0.041008333333333376,0.020625000000000032,0.0,0.0,1
qwen_instruct,h1_dinc,65,random,HrAs,MP,1.0,0.06005833333333333,0.03345000000000001,0.06515833333333333,0.03295000000000001,0.0,0.0,1
qwen_instruct,h1_dinc,65,random,HrBa,CO1,1.0,0.04969999999999996,0.02309999999999998,0.05076666666666663,0.023399999999999976,0.0,0.0,1
qwen_instruct,h1_dinc,65,random,HrCh,CO1,1.0,0.029766666666666698,0.013550000000000027,0.03353333333333334,0.015200000000000019,0.0,0.0,1
qwen_instruct,h1_dinc,65,random,HrHr,CO2,1.0,0.05656666666666669,0.026075000000000008,0.06705000000000001,0.031725,0.0,0.0,1
qwen_instruct,h1_dinc,65,random,ShAs,CO1,0.0,-0.009816666666666665,0.009349999999999997,0.0017500000000000046,0.011450000000000007,0.0,0.0,0
qwen_instruct,h1_dinc,65,random,ShCo,CO2,0.0,-0.0072416666666666775,0.010349999999999995,-0.002958333333333332,0.009474999999999994,0.0,0.0,0
qwen_instruct,h1_dinc,65,random,ShSh,CO1,0.0,-0.025383333333333348,0.011600000000000003,-0.019333333333333303,0.012424999999999999,0.0,0.0,0
qwen_instruct,h1_dinc,79,main,AsAs,CO1,0.0,1.176575,0.598975,-0.08412499999999999,0.04385000000000002,0.0,0.0,1
qwen_instruct,h1_dinc,79,main,AsBa,MP,-0.0,1.3575999999999997,0.669225,-0.10406666666666663,0.05177499999999999,-0.5555555555555555,0.3333333333333333,1
qwen_instruct,h1_dinc,79,main,AsCh,MP,-0.0,1.3276249999999998,0.6540249999999999,0.20922499999999997,0.09482499999999999,0.0,0.0,1
qwen_instruct,h1_dinc,79,main,AsCm,OD1,-0.0,1.260133333333333,0.612475,0.5546499999999999,0.263175,0.8333333333333335,0.5,1
qwen_instruct,h1_dinc,79,main,AsCo,CO2,0.0,1.5137,0.7399499999999999,0.07894999999999998,0.03854999999999999,0.6388888888888888,0.3333333333333333,1
qwen_instruct,h1_dinc,79,main,AsDl,OD1,-0.0,1.2922333333333331,0.636075,0.4259333333333333,0.18574999999999997,1.0833333333333333,0.5,1
qwen_instruct,h1_dinc,79,main,AsHa,OD2,0.0,1.1084,0.56775,0.30735000000000007,0.14225000000000004,1.111111111111111,0.6666666666666666,1
qwen_instruct,h1_dinc,79,main,AsHr,MP,-0.0,1.469825,0.7158749999999999,0.11434166666666665,0.06622500000000003,-0.47222222222222215,0.5833333333333333,1
