model,mode,steer_layer,variant,family,n_games,d_letter_slope_mean,d_letter_range_mean,d_canon_slope_mean,d_canon_range_mean,d_beh_canon_slope_mean,d_beh_canon_range_mean,flip_canon_rate,cell_canon_range_mean
qwen,h2_choice,79,random,OD2,9,-0.03301574074074073,0.023872222222222225,-0.003212037037037013,0.014511111111111117,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.029974999999999998
qwen_instruct,h1_dinc,65,main,CO1,9,1.4231324074074074,0.7373777777777779,0.020745370370370348,0.18052222222222222,0.055555555555555504,0.3055555555555556,0.7777777777777778,0.7373777777777777
qwen_instruct,h1_dinc,65,main,CO2,9,1.4684537037037035,0.7477583333333332,0.028264814814814812,0.22540277777777776,0.06481481481481478,0.3611111111111111,0.6666666666666666,0.7477583333333333
qwen_instruct,h1_dinc,65,main,DD,9,0.8262685185185183,0.44477777777777777,0.18117962962962955,0.24379722222222222,0.4166666666666666,0.3055555555555556,0.3611111111111111,0.44477777777777777
qwen_instruct,h1_dinc,65,main,MP,9,1.5754148148148148,0.8003777777777777,-0.015698148148148173,0.1532916666666667,-0.26851851851851855,0.3333333333333333,0.8333333333333334,0.8003777777777779
qwen_instruct,h1_dinc,65,main,OD1,9,1.455096296296296,0.7342833333333334,-0.027322222222222154,0.2324277777777778,-0.3055555555555556,0.3888888888888889,0.6944444444444444,0.7342833333333334
qwen_instruct,h1_dinc,65,main,OD2,9,1.4150870370370372,0.7315527777777778,0.1264074074074074,0.1850888888888889,0.5648148148148149,0.3333333333333333,0.6944444444444444,0.7315527777777778
qwen_instruct,h1_dinc,65,main_perp,CO1,9,1.3905944444444445,0.7205,0.031333333333333345,0.17999444444444446,0.06481481481481476,0.3055555555555556,0.7777777777777778,0.7204999999999999
qwen_instruct,h1_dinc,65,main_perp,CO2,9,1.442019444444444,0.7337694444444445,0.028274999999999953,0.22369166666666665,0.03703703703703706,0.3888888888888889,0.6111111111111112,0.7337694444444444
qwen_instruct,h1_dinc,65,main_perp,DD,9,0.8020898148148148,0.431225,0.1935027777777777,0.24008055555555552,0.3703703703703703,0.2777777777777778,0.3333333333333333,0.431225
qwen_instruct,h1_dinc,65,main_perp,MP,9,1.5494759259259256,0.7863472222222223,-0.006440740740740725,0.15269166666666667,-0.24074074074074078,0.3055555555555556,0.8333333333333334,0.7863472222222223
qwen_instruct,h1_dinc,65,main_perp,OD1,9,1.433674074074074,0.7220166666666666,-0.03680555555555555,0.23045833333333332,-0.1944444444444444,0.4166666666666667,0.6388888888888888,0.7220166666666668
qwen_instruct,h1_dinc,65,main_perp,OD2,9,1.3912240740740738,0.71995,0.12925555555555557,0.18638333333333332,0.5092592592592592,0.3333333333333333,0.7222222222222222,0.7199499999999999
qwen_instruct,h1_dinc,65,random,CO1,9,0.023976851851851846,0.018419444444444447,0.007419444444444429,0.018880555555555553,0.07407407407407408,0.027777777777777776,0.027777777777777776,0.022699999999999998
