model,mode,layer,variant,game_code,family,delta1_c,slope_letter,range_letter,slope_canon,range_canon,slope_beh,range_beh,beh_flip
qwen,h1_dinc,65,random,ShSh,CO1,0.0,0.015108333333333347,0.030775000000000025,-2.500000000009229e-05,0.015850000000000017,0.0,0.0,0
qwen,h1_dinc,79,main,AsAs,CO1,0.0,0.7368416666666666,0.361,-0.017758333333333303,0.009624999999999995,-0.16666666666666669,0.25,1
qwen,h1_dinc,79,main,AsBa,MP,-0.0,0.7541249999999998,0.37460000000000004,0.011991666666666678,0.016024999999999984,-0.16666666666666657,0.25,1
qwen,h1_dinc,79,main,AsCh,MP,1.0,0.7618083333333332,0.380225,-0.018574999999999908,0.01127499999999998,0.0,0.0,1
qwen,h1_dinc,79,main,AsCm,OD1,2.0,0.7598666666666665,0.378425,0.012350000000000009,0.016424999999999995,0.41666666666666674,0.5,1
qwen,h1_dinc,79,main,AsCo,CO2,1.0,0.729625,0.367275,-0.0003750000000000227,0.006599999999999953,0.08333333333333334,0.25,1
qwen,h1_dinc,79,main,AsDl,OD1,2.0,0.757225,0.37457500000000005,0.01429166666666661,0.016250000000000014,0.08333333333333334,0.25,1
qwen,h1_dinc,79,main,AsHa,OD2,2.0,0.7640416666666667,0.37925,0.008308333333333353,0.015975000000000003,0.33333333333333337,0.5,1
qwen,h1_dinc,79,main,AsHr,MP,2.0,0.7693416666666668,0.38205000000000006,-0.005224999999999989,0.008450000000000013,0.6666666666666667,0.25,1
qwen,h1_dinc,79,main,AsNc,OD2,0.0,0.7958083333333331,0.394575,-0.012241666666666623,0.022425000000000028,0.0,0.0,1
qwen,h1_dinc,79,main,AsPc,OD2,2.0,0.73205,0.36335,-0.04201666666666669,0.02540000000000002,0.0,0.0,1
qwen,h1_dinc,79,main,AsPd,OD1,2.0,0.7689416666666667,0.37549999999999994,0.00592500000000001,0.01200000000000001,-0.08333333333333329,0.5,1
qwen,h1_dinc,79,main,AsSh,CO1,0.0,0.7780666666666667,0.38615,-0.010266666666666743,0.008850000000000052,0.08333333333333334,0.25,1
qwen,h1_dinc,79,main,BaAs,MP,-1.0,0.7474666666666666,0.37122499999999997,-0.026016666666666664,0.01625,-0.41666666666666674,0.5,1
qwen,h1_dinc,79,main,BaBa,CO2,1.0,0.7579083333333332,0.372525,-0.0038916666666666882,0.01300000000000004,0.0,0.25,1
qwen,h1_dinc,79,main,BaCh,CO2,1.0,0.7799166666666665,0.389475,-0.013333333333333332,0.012024999999999994,-0.25,0.25,1
qwen,h1_dinc,79,main,BaCm,OD1,2.0,0.7947416666666667,0.39039999999999997,-0.041008333333333334,0.023924999999999974,-0.24999999999999972,0.5,1
qwen,h1_dinc,79,main,BaCo,MP,-1.0,0.80775,0.3993,0.009666666666666737,0.005950000000000025,-0.08333333333333329,0.25,1
